Industry Group,Symbol,Company Name,Date,Open,High,Low,Close,Change,% Change,Volume Traded,Value Traded (SAR),No. of Trades
Banks,1120,Al Rajhi Bank,23/01/2012,43.41,43.41,42.92,43.07,-0.15,-0.35,1146189,49411252,693,
Banks,1120,Al Rajhi Bank,24/01/2012,43.25,43.41,43.09,43.07,0.00,0.00,1162970,50237941.75,644,
Banks,1120,Al Rajhi Bank,25/01/2012,43.09,43.57,43.09,43.37,0.30,0.70,1293440,56072264.5,701,
Banks,1120,Al Rajhi Bank,28/01/2012,43.74,43.74,43.25,43.53,0.16,0.37,1581937,68746989,675,
Banks,1120,Al Rajhi Bank,29/01/2012,43.57,43.74,43.25,43.37,-0.16,-0.37,1672466,72608049.75,705,
Banks,1120,Al Rajhi Bank,30/01/2012,43.41,43.57,42.92,43.07,-0.30,-0.69,1535475,66292428,830,
Banks,1120,Al Rajhi Bank,31/01/2012,43.09,43.57,42.92,43.37,0.30,0.70,1964052,85090309,844,
Banks,1120,Al Rajhi Bank,01/02/2012,43.41,43.57,43.41,43.53,0.16,0.37,2519110,109523531.25,766,
Banks,1120,Al Rajhi Bank,04/02/2012,43.74,45.36,43.57,44.43,0.90,2.07,4918464,218929566,1584,
Banks,1120,Al Rajhi Bank,05/02/2012,44.39,44.88,44.22,44.73,0.30,0.68,2911621,129483296,894,
Banks,1120,Al Rajhi Bank,06/02/2012,44.71,44.71,44.22,44.43,-0.30,-0.67,1612238,71789811,806,
Banks,1120,Al Rajhi Bank,07/02/2012,44.39,44.55,44.06,44.28,-0.15,-0.34,2092984,92888814.25,762,
Banks,1120,Al Rajhi Bank,08/02/2012,44.39,44.71,44.22,44.58,0.30,0.68,2772347,123654108.25,1058,
Banks,1120,Al Rajhi Bank,11/02/2012,44.39,44.71,44.39,44.73,0.15,0.34,1801115,80369726,697,
Banks,1120,Al Rajhi Bank,12/02/2012,44.55,44.71,44.22,44.58,-0.15,-0.34,1514316,67360295.25,729,
Banks,1120,Al Rajhi Bank,13/02/2012,44.55,44.71,44.39,44.43,-0.15,-0.34,1541359,68802680.75,698,
Banks,1120,Al Rajhi Bank,14/02/2012,44.55,44.71,44.06,44.28,-0.15,-0.34,1853435,82335670,825,
Banks,1120,Al Rajhi Bank,15/02/2012,44.22,44.39,43.90,44.13,-0.15,-0.34,1571921,69375872,701,
Banks,1120,Al Rajhi Bank,18/02/2012,44.22,44.22,43.90,43.98,-0.15,-0.34,1791636,78935472.25,776,
Banks,1120,Al Rajhi Bank,19/02/2012,43.90,44.22,43.74,43.98,0.00,0.00,1983845,87152787,821,
Banks,1120,Al Rajhi Bank,20/02/2012,43.90,44.55,43.90,44.28,0.30,0.68,3034243,134691902.75,999,
Banks,1120,Al Rajhi Bank,21/02/2012,44.39,44.88,44.39,44.73,0.45,1.02,3395999,151906910,1190,
Banks,1120,Al Rajhi Bank,22/02/2012,44.88,46.01,44.88,45.32,0.59,1.32,5466554,249316404.25,1964,
Banks,1120,Al Rajhi Bank,25/02/2012,45.85,46.34,45.85,46.23,0.91,2.01,3274178,151246833.75,1464,
Banks,1120,Al Rajhi Bank,26/02/2012,46.50,47.15,45.85,46.68,0.45,0.97,4148130,193377744.75,1685,
Banks,1120,Al Rajhi Bank,27/02/2012,46.66,46.99,46.50,46.83,0.15,0.32,1880668,88003123,1100,
Banks,1120,Al Rajhi Bank,28/02/2012,46.83,47.80,46.50,47.13,0.30,0.64,4982295,234682703.5,1835,
Banks,1120,Al Rajhi Bank,29/02/2012,47.31,47.80,46.83,47.43,0.30,0.64,2927953,138532008.5,1288,
Banks,1120,Al Rajhi Bank,03/03/2012,47.80,48.61,47.64,48.48,1.05,2.21,3355910,161243638.75,1444,
Banks,1120,Al Rajhi Bank,04/03/2012,48.61,48.61,47.96,48.48,0.00,0.00,3692273,178286712.5,1572,
Banks,1120,Al Rajhi Bank,05/03/2012,46.83,47.31,46.50,46.83,-1.65,-3.40,4935621,231140707.25,2578,
Banks,1120,Al Rajhi Bank,06/03/2012,46.66,46.83,46.34,46.53,-0.30,-0.64,3230848,150471391,1608,
Banks,1120,Al Rajhi Bank,07/03/2012,46.01,46.34,45.53,46.08,-0.45,-0.97,2793430,128454311.75,1354,
Banks,1120,Al Rajhi Bank,10/03/2012,46.34,46.66,46.18,46.68,0.60,1.30,2636695,122724759.75,1225,
Banks,1120,Al Rajhi Bank,11/03/2012,46.66,47.15,46.66,46.83,0.15,0.32,2906685,136064647,1474,
Banks,1120,Al Rajhi Bank,12/03/2012,47.15,47.15,46.66,46.83,0.00,0.00,2657965,124586362.5,1322,
Banks,1120,Al Rajhi Bank,13/03/2012,46.83,47.31,46.18,46.53,-0.30,-0.64,5006009,234430937.75,2047,
Banks,1120,Al Rajhi Bank,14/03/2012,46.83,46.99,46.34,46.68,0.15,0.32,6048102,282181555.75,2016,
Banks,1120,Al Rajhi Bank,17/03/2012,46.66,46.99,46.50,46.68,0.00,0.00,3697313,172887606.5,1907,
Banks,1120,Al Rajhi Bank,18/03/2012,46.66,46.66,46.18,46.53,-0.15,-0.32,3719370,172981207,1571,
Banks,1120,Al Rajhi Bank,19/03/2012,46.66,46.83,46.34,46.38,-0.15,-0.32,3348239,155671712.25,1585,
Banks,1120,Al Rajhi Bank,20/03/2012,46.34,46.50,45.85,46.23,-0.15,-0.32,2638500,122099408.5,1523,
Banks,1120,Al Rajhi Bank,21/03/2012,46.01,46.50,46.01,46.23,0.00,0.00,2207197,102196207.5,1133,
Banks,1120,Al Rajhi Bank,24/03/2012,46.50,47.15,46.18,46.83,0.60,1.30,4376293,204830087.5,1640,
Banks,1120,Al Rajhi Bank,25/03/2012,46.99,48.29,46.99,47.88,1.05,2.24,7028133,335909630.25,2433,
Banks,1120,Al Rajhi Bank,26/03/2012,47.96,49.10,47.80,48.93,1.05,2.19,6786181,328903715,2565,
Banks,1120,Al Rajhi Bank,27/03/2012,48.94,49.92,48.78,49.38,0.45,0.92,7277396,360088915,2586,
Banks,1120,Al Rajhi Bank,28/03/2012,49.27,49.75,49.10,49.53,0.15,0.30,3437492,169807713,1351,
Banks,1120,Al Rajhi Bank,31/03/2012,49.75,49.92,49.43,49.68,0.15,0.30,3070718,152364614.25,1221,
Banks,1120,Al Rajhi Bank,01/04/2012,49.27,49.43,48.94,49.23,-0.45,-0.91,2784504,137103328.25,1220,
Banks,1120,Al Rajhi Bank,02/04/2012,49.27,49.59,48.94,49.23,0.00,0.00,2558303,125873946.75,1181,
Banks,1120,Al Rajhi Bank,03/04/2012,49.27,49.27,48.13,48.48,-0.75,-1.52,3568554,173249078,1840,
Banks,1120,Al Rajhi Bank,04/04/2012,48.29,48.61,48.13,48.33,-0.15,-0.31,2118201,102459029.5,1290,
Banks,1120,Al Rajhi Bank,07/04/2012,47.96,47.96,47.48,47.73,-0.60,-1.24,3334678,159120781.25,1540,
Banks,1120,Al Rajhi Bank,08/04/2012,47.80,48.29,46.99,47.27,-0.46,-0.96,5025875,239102062.25,1986,
Banks,1120,Al Rajhi Bank,09/04/2012,47.15,47.48,46.50,46.83,-0.44,-0.93,2884496,135236130.75,1290,
Banks,1120,Al Rajhi Bank,10/04/2012,46.83,47.15,45.69,45.78,-1.05,-2.24,2795415,130115178.75,1390,
Banks,1120,Al Rajhi Bank,11/04/2012,46.18,47.80,45.85,47.58,1.80,3.93,5969177,277756569.25,2474,
Banks,1120,Al Rajhi Bank,14/04/2012,47.15,47.96,46.34,46.53,-1.05,-2.21,3606069,170295093.25,1697,
Banks,1120,Al Rajhi Bank,15/04/2012,46.34,46.50,45.69,45.78,-0.75,-1.61,2629481,121053482.5,1294,
Banks,1120,Al Rajhi Bank,16/04/2012,45.85,46.18,45.20,45.32,-0.46,-1.00,2239953,102194628.75,1164,
Banks,1120,Al Rajhi Bank,17/04/2012,46.18,47.31,46.18,46.98,1.66,3.66,2450113,114323622.5,1416,
Banks,1120,Al Rajhi Bank,18/04/2012,47.15,47.15,46.66,46.83,-0.15,-0.32,1954220,91614063,949,
Banks,1120,Al Rajhi Bank,21/04/2012,46.83,47.64,46.83,47.27,0.44,0.94,2083983,98577422,1009,
Banks,1120,Al Rajhi Bank,22/04/2012,47.31,47.64,47.15,47.27,0.00,0.00,1411489,66913550.75,887,
Banks,1120,Al Rajhi Bank,23/04/2012,47.31,47.64,46.99,47.27,0.00,0.00,1940591,91846580,878,
Banks,1120,Al Rajhi Bank,24/04/2012,47.31,47.48,46.50,46.83,-0.44,-0.93,2340875,109939526.25,906,
Banks,1120,Al Rajhi Bank,25/04/2012,46.83,47.48,46.66,47.13,0.30,0.64,1497470,70632486.75,886,
Banks,1120,Al Rajhi Bank,28/04/2012,47.31,47.48,47.15,47.43,0.30,0.64,1537451,72685473.25,723,
Banks,1120,Al Rajhi Bank,29/04/2012,47.48,47.48,46.83,46.98,-0.45,-0.95,1817875,85617062.5,688,
Banks,1120,Al Rajhi Bank,30/04/2012,46.83,46.99,46.50,46.83,-0.15,-0.32,1303171,60863462.25,677,
Banks,1120,Al Rajhi Bank,01/05/2012,46.83,47.15,46.83,46.83,0.00,0.00,1893720,88940523.25,741,
Banks,1120,Al Rajhi Bank,02/05/2012,46.99,47.31,46.83,46.98,0.15,0.32,1631706,76642884.75,746,
Banks,1120,Al Rajhi Bank,05/05/2012,46.66,46.66,46.18,46.53,-0.45,-0.96,1398958,64901390,654,
Banks,1120,Al Rajhi Bank,06/05/2012,46.66,46.66,45.85,45.93,-0.60,-1.29,1733192,80219250,962,
Banks,1120,Al Rajhi Bank,07/05/2012,45.69,45.85,45.36,45.63,-0.30,-0.65,2434891,110707313.75,1139,
Banks,1120,Al Rajhi Bank,08/05/2012,45.69,45.85,45.36,45.78,0.15,0.33,1414678,64519265.25,799,
Banks,1120,Al Rajhi Bank,09/05/2012,45.53,45.69,45.36,45.32,-0.46,-1.00,1628037,73990864.25,920,
Banks,1120,Al Rajhi Bank,12/05/2012,45.36,45.36,43.74,45.17,-0.15,-0.33,2625627,117153930.25,1157,
Banks,1120,Al Rajhi Bank,13/05/2012,45.20,45.53,45.04,45.17,0.00,0.00,1661438,75123362,706,
Banks,1120,Al Rajhi Bank,14/05/2012,45.04,45.04,44.39,44.58,-0.59,-1.31,1629236,72687910,861,
Banks,1120,Al Rajhi Bank,15/05/2012,44.39,44.88,44.22,44.58,0.00,0.00,2215310,98666924,911,
Banks,1120,Al Rajhi Bank,16/05/2012,44.39,44.55,43.90,44.43,-0.15,-0.34,1667710,73762230.25,991,
Banks,1120,Al Rajhi Bank,19/05/2012,43.90,44.22,42.92,43.07,-1.36,-3.06,3311906,144031789.25,1522,
Banks,1120,Al Rajhi Bank,20/05/2012,43.25,43.57,43.09,43.22,0.15,0.35,2535579,109651149.5,1099,
Banks,1120,Al Rajhi Bank,21/05/2012,43.41,43.74,43.25,43.37,0.15,0.35,1692506,73475354.75,799,
Banks,1120,Al Rajhi Bank,22/05/2012,43.90,44.55,43.74,44.43,1.06,2.44,2982423,131279985.75,1294,
Banks,1120,Al Rajhi Bank,23/05/2012,44.06,44.22,43.90,43.98,-0.45,-1.01,1169475,51624506,794,
Banks,1120,Al Rajhi Bank,26/05/2012,44.06,44.22,43.57,43.53,-0.45,-1.02,1488240,65410190.75,819,
Banks,1120,Al Rajhi Bank,27/05/2012,43.57,43.90,43.41,43.53,0.00,0.00,1458309,63634050.25,748,
Banks,1120,Al Rajhi Bank,28/05/2012,43.74,44.06,43.74,43.98,0.45,1.03,1553174,68191654,822,
Banks,1120,Al Rajhi Bank,29/05/2012,44.06,44.39,43.90,43.83,-0.15,-0.34,1552687,68443385,790,
Banks,1120,Al Rajhi Bank,30/05/2012,43.74,43.74,43.09,43.68,-0.15,-0.34,2268763,98558535.5,1056,
Banks,1120,Al Rajhi Bank,02/06/2012,42.76,42.92,41.95,42.33,-1.35,-3.09,3764194,159897324.75,1226,
Banks,1120,Al Rajhi Bank,03/06/2012,42.27,42.60,41.95,42.62,0.29,0.69,2065500,87247624.25,1012,
Banks,1120,Al Rajhi Bank,04/06/2012,42.11,42.92,41.95,42.77,0.15,0.35,1889451,80163146.5,923,
Banks,1120,Al Rajhi Bank,05/06/2012,42.76,42.92,42.60,42.62,-0.15,-0.35,1969681,84338889.5,959,
Banks,1120,Al Rajhi Bank,06/06/2012,42.92,43.25,42.44,42.62,0.00,0.00,2378272,101927281.5,1036,
Banks,1120,Al Rajhi Bank,09/06/2012,43.09,43.57,43.09,43.22,0.60,1.41,1524650,65927253,845,
Banks,1120,Al Rajhi Bank,10/06/2012,43.41,44.39,43.25,44.28,1.06,2.45,1784981,78194876.75,1022,
Banks,1120,Al Rajhi Bank,11/06/2012,44.39,45.04,44.39,44.73,0.45,1.02,2229389,99932187.5,1086,
Banks,1120,Al Rajhi Bank,12/06/2012,44.39,44.55,43.90,43.98,-0.75,-1.68,1727374,76089551,819,
Banks,1120,Al Rajhi Bank,13/06/2012,44.39,44.55,44.06,44.28,0.30,0.68,1258103,55807298,762,
Banks,1120,Al Rajhi Bank,16/06/2012,44.71,44.71,42.60,43.68,-0.60,-1.36,3146026,137215552.25,1185,
Banks,1120,Al Rajhi Bank,17/06/2012,43.41,44.06,43.41,43.68,0.00,0.00,1583790,69414638,802,
Banks,1120,Al Rajhi Bank,18/06/2012,43.90,44.39,43.90,44.43,0.75,1.72,1333459,59025297.75,781,
Banks,1120,Al Rajhi Bank,19/06/2012,44.22,44.55,43.90,44.28,-0.15,-0.34,2012010,89123048.5,1119,
Banks,1120,Al Rajhi Bank,20/06/2012,44.22,44.55,44.06,44.58,0.30,0.68,2115961,93821750.5,975,
Banks,1120,Al Rajhi Bank,23/06/2012,44.39,44.55,44.06,44.13,-0.45,-1.01,1083056,48094744.5,580,
Banks,1120,Al Rajhi Bank,24/06/2012,44.06,44.22,43.90,43.98,-0.15,-0.34,1079252,47582643.25,602,
Banks,1120,Al Rajhi Bank,25/06/2012,43.90,44.06,43.74,43.68,-0.30,-0.68,1262574,55547671,698,
